author,title,year,opening_line
Larry McMurtry,Sin Killer,2002,"In the darkness beyond the great Missouri’s shore at last lay the West, toward which Tasmin and her family, the numerous Berrybenders, had so long been tending."
Grace Metalious,Peyton Place,1956,"Indian summer is like a woman. Ripe, hotly passionate, but fickle, she comes and goes as she pleases so that one is never sure whether she will come at all, nor for how long she will stay."
Stephenie Meyer,Twilight,2005,"I’d never given much thought to how I would die–though I’d had reason enough in the last few months–but even if I had, I would not have imagined it like this."
Stephenie Meyer,New Moon,2006,"I felt like I was trapped in one of those terrifying nightmares, the one where you have to run, run till your lungs burst, but you can’t make your body move fast enough."
Stephenie Meyer,Eclipse,2007,All our attempts at subterfuge had been in vain
Alex Michaelides,The Silent Patient,2019,Alicia Berenson was thirty-three years old when she killed her husband.
Ammi Midstokke,The Spokesman-Review,,"Recently, while criticizing my husband for something flawed in his person, like how he laces his boots or something, I was struck by a realization. Either I am perfect or my husband enjoys the relative peace that reigns when we both pretend I am."
Henry Miller,Tropic of Cancer,1934,"I am living at the Villa Borghese. There is not a crumb of dirt anywhere, nor a chair misplaced. We are all alone here and we are dead."
Henry Miller,Tropic of Capricorn,1939,"Once you have given up the ghost, everything follows with dead certainty, even in the midst of chaos."
Henry Miller,Sexus,1949,"It must have been a Thursday night when I met her for the first time—at the dance hall. I reported to work in the morning, after an hour or two’s sleep, looking like a somnambulist."
Henry Miller,Plexus,1953,"In her tight-fitting Persian dress, with turban to match, she looked ravishing. Spring had come and she had donned a pair of long gloves and a beautiful taupe fur slung carelessly about her full columnar neck. We had chosen Brooklyn Heights in which to search for an apartment, thinking to get as far away as possible from everyone we knew…."
Sue Miller,The Distinguished Guest,1995,"In 1982, when she was seventy-two years old, Lily Roberts Maynard published her first book."
Dan Millman,Everyday Enlightenment,1998,"One night, years ago, I fell into the depths of despair over a woman I loved and was losing."
David Mitchell,The Bone Clocks,2014,"I fling open my bedroom curtains, and there’s the thirsty sky and the wide river full of ships and boats and stuff, but I’m already thinking of Vinny’s chocolaty eyes, shampoo down Vinny’s back, beads of sweat on Vinny’s shoulders, and Vinny’s sly laugh, and by now my heart’s going mental and, God, I wish I was waking up at Vinny’s place in Peacock Street and not in my own stupid bedroom."
Margaret Mitchell,Gone With the Wind,1936,"Scarlett O’Hara was not beautiful, but men seldom realized it when caught by her charms as the Tarleton twins were."
Nancy Mitford,The Pursuit of Love,1945,"There is a photograph in existence of Aunt Sadie and her six children sitting round the tea-table at Alconleigh. The table is situated, as it was, is now, and ever shall be, in the hall, in front of a huge open fire of logs. Over the chimney-piece plainly visible in the photograph, hangs an entrenching tool, with which, in 1915, Uncle Matthew had whacked to death eight Germans one by one as they crawled out of a dug-out."
Desmond Morris,The Naked Ape,1967,There are one hundred and ninety-three living species of monkeys and apes. One hundred and ninety-two of them are covered with hair. The exception is a naked ape self-named Homo sapiens.
Chandler Morrison,American Narcissus,2024,Only lies are sexy.
Toni Morrison,Beloved,1987,124 was spiteful.
Haruki Murakami,After Dark,2004,Eyes mark the shape of the city.
Iris Murdoch,The Bell,1958,Dora Greenfield left her husband because she was afraid of him. She decided six months later to return to him for the same reason.
Iris Murdoch,A Severed Head,1961,"“You’re sure she doesn’t know,” said Georgie. “Antonia? About us? Certain.”"
Iris Murdoch,The Nice and the Good,1968,"A head of department, working quietly in his room in Whitehall on a summer afternoon, is not accustomed to being disturbed by the nearby and indubitable sound of a revolver shot."
Iris Murdoch,The Black Prince,1973,"It might be most dramatically effective to begin the tale at the moment when Arnold Baffin rang me up and said, “Bradley, could you come round here please, I think that I have just killed my wife.”"
Caitlin Myer,Wiving,2020,"I am fifty years old and have just moved to a seaside town in Portugal. I’m reading in a quiet bar when a man asks why a beautiful woman like me is alone. What he means is, What is happening between your legs? What he means is, You are breaking the rules of the story, but I can set you straight. What he means is, I can fill that terrible gap between your legs."
Vladimir Nabokov,Lolita,1955,"Lolita, light of my life, fire of my loins. My sin, my soul. Lo-lee-ta: the tip of the tongue taking a trip of three steps down the palate to tap, at three, on the teeth. Lo. Lee. Ta."
N. Richard Nash,Cry Macho,1975,He was not yet within sight of the ravine when Mike heard the first shot.
T. J. Newman,Falling,2021,When the shoe dropped into her lap the foot was still in it.
Audrey Niffenegger,The Time Traveller’s Wife,2003,"It’s hard being left behind. I wait for Henry, not knowing where he is, wondering if he’s okay. It’s hard to be the one who stays."
Audrey Niffennegger,Her Fearful Symmetry,2009,"Elspeth died while Robert was standing in front of a vending machine watching tea shoot into a small plastic cup. Later he would remember walking down the hospital corridor with the cup of horrible tea in his hand, alone under the fluorescent lights, retracing his steps to the room where Elspeth lay surrounded by machines. She had turned her head towards the door and her eyes were open; at first Robert thought she was conscious."
David Niven,The Moon’s a Balloon,1971,"Nessie, when I first saw her, was seventeen years old, honey-blond, pretty rather than beautiful, the owner of a voluptuous but somehow innocent body and a pair of legs that went on for ever. She was a Picadilly whore. I was a fourteen-year-old heterosexual schoolboy and I met her thanks to my stepfather. (If you would like to skip on and meet Nessie more fully, she reappears on page 41.)"
Trevor Noah,Born a Crime,2016,"The genius of apartheid was convincing people who were the overwhelming majority to turn on each other. Apart hate, is what it was. You separate people into groups and make them hate one another so you can run them all."
